adjusted_date,mean_pos_sentiment,mean_neg_sentiment,mean_neutral_sentiment,mean_pos_preamble_sentiment,mean_neg_preamble_sentiment,mean_neutral_preamble_sentiment,News
2023-04-13,0.0671903,0.016526762,0.91628295,0.046123777,0.021027714,0.93284845,Tesla
2020-05-13,0.010466258,0.9619824,0.027551323,0.010121393,0.9574513,0.032427263,Tesla
2021-05-13,0.0213802936666666,0.7382101933333334,0.240409515,0.0241311073333333,0.7429231,0.2329458033333333,Tesla
2022-05-13,0.031270436,0.78228584,0.1864436983333333,0.0229835515,0.7555997733333332,0.22141669,Tesla
2024-05-13,0.032981787,0.7830512,0.18396701,0.024025114,0.836042,0.13993289,Tesla
2024-06-13,0.0674547067142857,0.4861918797142857,0.4463534254285714,0.0879060852857142,0.4380723434285714,0.4740215557142857,Tesla
2020-07-13,0.029490657,0.8797322,0.09077715,0.05842396,0.34777802,0.5937981,Tesla
2021-07-13,0.0239554905,0.6514268999999999,0.3246176,0.0289513215,0.5867207249999999,0.384327935,Tesla
2022-07-13,0.02601401,0.43443748,0.53954846,0.028516661,0.5311213,0.44036198,Tesla
2023-07-13,0.11985908,0.012852251,0.8672887,0.1231533,0.012641628,0.86420506,Tesla
2020-08-13,0.04133689,0.020250138,0.938413,0.039799675,0.020734929,0.9394654,Tesla
2023-08-13,0.043670863,0.032236125,0.92409307,0.037713267,0.027105913,0.9351808,Tesla
2024-08-13,0.0823301965,0.417349409,0.500320385,0.048689574,0.256165875,0.69514455,Tesla
2022-09-13,0.03127582,0.74881333,0.21991098,0.031759318,0.6759483,0.29229242,Tesla
2023-09-13,0.0833097174999999,0.3610221995,0.5556680700000001,0.067081577,0.386111103,0.54680733,Tesla
2024-09-13,0.0481883225,0.339673535,0.612138125,0.038496495,0.3287204165,0.632783045,Tesla
2020-01-14,0.4125659,0.009795755,0.5776383,0.24474001,0.009965081,0.7452949,Tesla
2021-01-14,0.19141856,0.009398423,0.79918295,0.22654678,0.00892592,0.7645273,Tesla
2022-01-14,0.008286409,0.9716376,0.020076022,0.009213959,0.97070026,0.02008584,Tesla
2021-10-14,0.008095186,0.9572922,0.034612548,0.008476187,0.95487374,0.03665005,Tesla
2022-11-14,0.02585226,0.57832724,0.3958204,0.0250978,0.3897983,0.58510387,Tesla
2023-11-14,0.1779704,0.79228574,0.02974384,0.81102943,0.13149254,0.057478063,Tesla
2022-12-14,0.022162007,0.78115165,0.19668633,0.023989195,0.75338286,0.22262788,Tesla
2023-12-14,0.401367975,0.110481738,0.488150248,0.383838454,0.11637418,0.499787325,Tesla
2020-02-14,0.7125379,0.009546747,0.27791536,0.22541462,0.010092357,0.76449305,Tesla
2023-02-14,0.243447388,0.2671398915,0.48941272,0.171064794,0.173748739,0.6551865,Tesla
2021-03-14,0.101859108,0.3933986,0.504742305,0.079604995,0.319790074,0.6006048900000001,Tesla
2024-03-14,0.21986334,0.20992462,0.57021207,0.17519714,0.0878878,0.7369151,Tesla
2021-04-14,0.3360137,0.0381130215,0.62587328,0.337141838,0.0299373925,0.63292073,Tesla
2022-04-14,0.077372601,0.699346703,0.223280694,0.055418847,0.63299435375,0.3115868075,Tesla
2023-04-14,0.18428409,0.6199736,0.19574235,0.059736717,0.8222015,0.118061766,Tesla
2020-05-14,0.0259864645,0.4699697675,0.504043813,0.0273002025,0.450963868,0.52173594,Tesla
2021-05-14,0.482499733,0.045324032,0.472176205,0.49285192,0.0310125525,0.476135473,Tesla
2024-05-14,0.46556672,0.2005432,0.3338901,0.2721743,0.122054175,0.60577154,Tesla
2021-06-14,0.028790489,0.65498951,0.3162200325,0.0355862304999999,0.61105283,0.353360925,Tesla
2022-06-14,0.008329409,0.9624619,0.029208688,0.007896743,0.9647797,0.02732351,Tesla
2024-06-14,0.530581246,0.144375583,0.325043169,0.437937608,0.1305115339999999,0.431550844,Tesla
2020-07-14,0.064587935,0.3294689686666666,0.6059430906666666,0.0648219906666666,0.3215277466666666,0.6136502806666667,Tesla
2021-07-14,0.0381703145,0.503467385,0.458362259,0.0246292745,0.49274279,0.482627912,Tesla
2022-07-14,0.2690547725,0.355980605,0.37496464,0.460043244,0.1107882615,0.42916855,Tesla
2023-07-14,0.24106547,0.65618926,0.10274533,0.15461247,0.7698949,0.0754926,Tesla
2024-07-14,0.13267057,0.2573236,0.61000586,0.0720558,0.09488309,0.8330611,Tesla
2024-08-14,0.033370808,0.29688632,0.6697428,0.022923216,0.22205889,0.7550179,Tesla
2020-09-14,0.18682685,0.7288168,0.08435633,0.14718592,0.7710183,0.08179577,Tesla
2023-09-14,0.011229894,0.9453809,0.043389123,0.0087755015,0.9518131,0.039411355,Tesla
2021-01-15,0.06014162,0.164304655,0.7755536999999999,0.046251661,0.19876984,0.75497852,Tesla
2024-01-15,0.021488348,0.9088842,0.06962743,0.06502864,0.59853053,0.3364409,Tesla
2020-10-15,0.06692315,0.023700759,0.9093761,0.032673188,0.03727167,0.93005514,Tesla
2022-10-15,0.023462906,0.7715233,0.20501375,0.035210654,0.7169067,0.24788259,Tesla
2019-11-15,0.075882964,0.6667297,0.2573874,0.07391265,0.2826808,0.6434065,Tesla
