Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,headline,article_time,subheaders
2024-05-09 00:00:00-04:00,515.7162472242221,518.5371637254024,515.0484188024253,518.4972534179688,43643700,0.0,0.0,0.0,Stock Rally Fades With Fed on Tightrope After Data: Markets Wrap,"May 10, 2024 at 6:02 AM GMT+8","['US consumer sentiment slumps as inflation expectations rise', 'Fed officials keep signaling need for higher-for-longer rates']"
2024-05-10 00:00:00-04:00,520.1320127003125,520.9593607034861,517.9191807588884,519.1651611328125,52233200,0.0,0.0,0.0,,,
2024-05-13 00:00:00-04:00,520.8795816495212,520.9892133170371,518.068642729301,519.23486328125,36716400,0.0,0.0,0.0,S&P 500 Gets Close to All-Time High Before Key CPI: Markets Wrap,"May 14, 2024 at 6:27 AM GMT+8","['Tech megacaps lead gains in stocks as bonds yields decline', 'Producer prices top forecasts, but details offer some relief']"
2024-05-14 00:00:00-04:00,519.4342275520697,522.1455123568275,518.8860083806196,521.6171875,57535900,0.0,0.0,0.0,"S&P 500 Tops 5,300 in Record-Breaking Stock Rally: Markets Wrap","May 15, 2024 at 6:26 AM GMT+8","['Core CPI cools for first time in six months in relief for Fed', 'US retail sales stall after downward revisions in prior months']"
2024-05-15 00:00:00-04:00,524.1391058601715,528.3754391380512,523.4911717291769,528.076416015625,59504900,0.0,0.0,0.0,"Dow Average Touches 40,000 Before Pulling Back: Markets Wrap","May 16, 2024 at 6:33 AM GMT+8","['US equities edge lower after breaking fresh records this week', 'Treasuries retreat while US dollar rebounds from one-month low']"
2024-05-16 00:00:00-04:00,528.1760438564638,529.8107846296507,526.8403261908398,526.9898681640625,50244800,0.0,0.0,0.0,"Dow Makes History to Close Week Above 40,000 Mark","May 17, 2024 at 6:45 AM GMT+8","['Blue-chip gauge hits milestone in final stretch of US trading', 'VIX index closes at lowest since 2019 as S&P 500 grinds higher']"
2024-05-17 00:00:00-04:00,527.1094799982458,527.8172187220256,525.6242811909807,527.7474365234375,59187600,0.0,0.0,0.0,,,
2024-05-20 00:00:00-04:00,527.8670541909717,529.8506451579073,527.4683161466429,528.35546875,37764200,0.0,0.0,0.0,,,
2024-05-21 00:00:00-04:00,527.5779777569714,529.8107646611304,527.3686311701265,529.6512451171875,33437000,0.0,0.0,0.0,Tech Up in Late Hours as Nvidia Emboldens AI Bulls: Markets Wrap,"May 22, 2024 at 6:41 AM GMT+8","['Nvidia forecast shatters estimates as AI boom stays strong', 'Minutes show officials rallying around higher-for-longer rates']"
2024-05-22 00:00:00-04:00,528.9435910957411,529.6712241359859,525.9033504362835,528.126220703125,48390000,0.0,0.0,0.0,Stocks Join Bonds in Falling as Fed-Cut Bets Wane: Markets Wrap,"May 23, 2024 at 6:21 AM GMT+8","['Business activity expands most in two years, prices pick up', 'Nvidia stock surges as sales forecast delivers on AI hopes']"
2024-05-23 00:00:00-04:00,531.2461666505624,531.3557983189735,523.0326131578631,524.2686767578125,57211200,0.0,0.0,0.0,Stocks Rise on Hopes Inflation Pressures Will Ease: Markets Wrap,"May 24, 2024 at 6:46 AM GMT+8","['US consumers tempered inflation expectations in late May', 'Waller says he still thinks neutral rate is relatively low']"
2024-05-24 00:00:00-04:00,526.152573970139,528.5648358055848,525.1857223916041,527.7374877929688,41258400,0.0,0.0,0.0,,,
