,omega,alpha,beta,gamma,x,sample,omega_wo_exo,alpha_wo_exo,beta_wo_exo,omega_with_exo,alpha_with_exo,beta_with_exo,gamma_with_exo,without_exo_MSE,with_exo_MSE,without_exo_logll,with_exo_logll,without_exo_opt_suc,with_exo_opt_suc
20,0,0.08,0.85,2.8,"[[0.04], []]",20,3.3099473240918376,0.08430898655532912,0.8275487523527164,0.00011397571766970515,0.06556557211636357,0.8567926147783341,3.0009718330214956,49.211316172263544,8.461205221124782,-3851.045234109757,-3838.089632555818,True,True
21,0,0.08,0.85,2.8,"[[0.04], []]",21,2.3699551061385673,0.08337565392278079,0.8539300353720974,0.00025791521798812093,0.06594723442749005,0.8715430023686244,2.3837230288780202,60.47453691428586,8.338556760858353,-3858.850241133571,-3843.3435676912713,True,True
22,0,0.08,0.85,2.8,"[[0.04], []]",22,2.9588461306754477,0.08729961535149798,0.8289786627330913,0.6290965748180546,0.08540872655264625,0.8431120531030747,1.8899342236661594,85.7962524802922,18.45769796233055,-3816.901967798899,-3810.681882334278,True,True
23,0,0.08,0.85,2.8,"[[0.04], []]",23,3.155706360109564,0.08973161185094353,0.8266038421612413,0.2946403377642173,0.061965997718562545,0.8520370034379693,2.9874934215170983,64.71009910477117,10.226375709939623,-3849.7919732880146,-3836.3856243688842,True,True
24,0,0.08,0.85,2.8,"[[0.04], []]",24,3.4341647882113913,0.07976920340194099,0.8227611683010602,0.3004946579144645,0.05246960006841066,0.8739596634896699,2.233603374278729,60.162489628786936,23.14360132805537,-3819.6212796217483,-3812.2420600065116,True,True
25,0,0.08,0.85,2.8,"[[0.04], []]",25,2.960575591357427,0.0910040287958504,0.8347740578789886,0.06908513415412977,0.04972279347028282,0.8968677551094224,1.8954375655811455,85.66474537122134,24.1015687556751,-3888.1026790701007,-3878.3372799913222,True,True
26,0,0.08,0.85,2.8,"[[0.04], []]",26,2.0080781500324845,0.07181346944313871,0.8783294881382688,0.006890408149070928,0.06523289021040474,0.8596392129206074,3.0836241850784183,54.14853071414529,9.20285780956272,-3891.022081666307,-3877.999195736311,True,True
27,0,0.08,0.85,2.8,"[[0.04], []]",27,1.2391895700113598,0.06586637220735579,0.8954645534850975,2.0812840031711515e-05,0.07104402477465539,0.8519234145976656,2.416832650922019,88.3888046435116,23.425847192306666,-3766.6734707018804,-3751.077336541654,True,True
28,0,0.08,0.85,2.8,"[[0.04], []]",28,4.106432933105989,0.11221637409317227,0.7923241038865897,0.06988116252951539,0.08709856584819337,0.8300310222777085,3.6195153649209866,69.94255370956716,13.998201079736196,-3923.8198502575806,-3907.6817412082173,True,True
29,0,0.08,0.85,2.8,"[[0.04], []]",29,1.502614092763063,0.08666389995263923,0.8772826972759706,3.700714243583372e-05,0.0810947716433206,0.8395946394077541,3.040871439262011,63.82912001161989,6.238507625775643,-3872.073575768835,-3851.64296080678,True,True
30,0,0.08,0.85,2.8,"[[0.04], []]",30,1.596712395808068,0.06646018722089772,0.8885187869321235,3.564068343525159e-05,0.06355524156701511,0.8659708946157767,2.52936973103716,63.46321916448709,10.82208219237789,-3817.3304291461914,-3800.5307729152323,True,True
31,0,0.08,0.85,2.8,"[[0.04], []]",31,2.3036365838490416,0.11680238873701379,0.8232747518493279,0.0004716441776416118,0.09147094386199295,0.8403393817120394,2.5298343774327403,61.96208209647521,7.531843686651983,-3843.3539791957205,-3829.1448873759323,True,True
32,0,0.08,0.85,2.8,"[[0.04], []]",32,4.467242845247566,0.11142376338459567,0.7891800237133985,2.108417753297741,0.11203450962680464,0.7844532621830987,2.6921893450555414,63.23590019922741,28.995628522972748,-3954.137536569972,-3949.0434947064427,True,True
33,0,0.08,0.85,2.8,"[[0.04], []]",33,6.010960758156104,0.14631822482905335,0.6986962281861175,0.41846037713523293,0.08061053713851368,0.8107157793414034,4.02889282592597,68.79846463688264,14.885353016686741,-3854.6684880593257,-3837.6531917985653,True,True
